简历ID,应聘岗位,所属部门,招聘渠道,简历投递时间,简历筛选结果,筛选完成时间,一面时间,一面面试官,一面结果,二面时间,二面面试官,二面结果,终面时间,终面面试官,终面结果,Offer发放时间,候选人期望薪资,Offer定薪,是否接受Offer,入职时间,是否到岗
RES00033,市场推广,市场部,校园招聘,2025-03-22,通过,2025-03-23,2025-03-27,张霞,通过,2025-04-02,陈霞,不通过,,,,,,,,,否
RES00034,客服主管,客服部,内部推荐,2025-02-14,通过,2025-02-15,2025-02-21,王梅,通过,2025-03-01,伍帅,通过,2025-03-05,王雪,通过,2025-03-02,28k,30262.0,是,2025-04-12,是
RES00035,销售代表,销售部,前程无忧,2025-06-20,不通过,,,,,,,,,,,,,,,,否
RES00036,产品运营,运营部,BOSS直聘,2024-03-21,不通过,,,,,,,,,,,,,,,,否
RES00037,数据分析师,产品部,前程无忧,2025-02-09,不通过,,,,,,,,,,,,,,,,否
RES00038,HRBP,人事部,内部推荐,2024-11-13,不通过,,,,,,,,,,,,,,,,否
RES00039,行政专员,人事部,校园招聘,2024-12-13,不通过,,,,,,,,,,,,,,,,否
RES00040,Java开发工程师,技术部,内部推荐,2024-08-14,不通过,,,,,,,,,,,,,,,,否
RES00041,财务会计,财务部,BOSS直聘,2024-12-07,通过,2024-12-11,2024-12-15,陈杰,通过,2024-12-14,陈波,不通过,,,,,,,,,否
RES00042,行政专员,人事部,前程无忧,2024-06-21,通过,2024-06-24,2024-07-01,郭建军,通过,2024-07-03,刘玉英,不通过,,,,,,,,,否
RES00043,客服主管,客服部,智联招聘,2024-03-19,不通过,,,,,,,,,,,,,,,,否
RES00044,数据分析师,产品部,BOSS直聘,2025-06-06,不通过,,,,,,,,,,,,,,,,否
RES00045,行政专员,人事部,BOSS直聘,2024-04-26,不通过,,,,,,,,,,,,,,,,否
RES00046,财务会计,财务部,BOSS直聘,2025-06-27,不通过,,,,,,,,,,,,,,,,否
RES00047,产品经理,产品部,内部推荐,2025-06-06,不通过,,,,,,,,,,,,,,,,否
RES00048,前端开发工程师,技术部,BOSS直聘,2024-07-17,通过,2024-07-19,2024-07-22,刘芳,通过,2024-08-01,申金凤,不通过,,,,,,,,,否
RES00049,产品经理,产品部,BOSS直聘,2024-12-23,通过,2024-12-24,2024-12-30,崔娟,通过,2025-01-03,陈玉珍,通过,2025-01-11,周涛,通过,2025-01-09,9k,8663.0,是,2025-01-23,是
RES00050,产品运营,运营部,猎头,2024-12-25,通过,2024-12-28,2025-01-02,张勇,通过,2025-01-06,苏志强,通过,2025-01-08,曹海燕,通过,2025-01-17,10k,10819.0,是,2025-02-10,是
RES00051,产品运营,运营部,智联招聘,2024-05-31,通过,2024-06-02,2024-06-08,刘旭,候选人放弃,,,,,,,,,,,,否
RES00052,HRBP,人事部,BOSS直聘,2024-08-29,通过,2024-09-01,2024-09-08,丁杰,通过,2024-09-05,何兵,不通过,,,,,,,,,否
RES00053,测试工程师,技术部,BOSS直聘,2024-04-15,通过,2024-04-18,2024-04-21,任军,通过,2024-04-27,许俊,不通过,,,,,,,,,否
RES00054,财务会计,财务部,BOSS直聘,2024-05-29,不通过,,,,,,,,,,,,,,,,否
RES00055,测试工程师,技术部,BOSS直聘,2024-09-19,不通过,,,,,,,,,,,,,,,,否
RES00056,产品运营,运营部,BOSS直聘,2024-07-21,通过,2024-07-24,2024-07-24,温杨,不通过,,,,,,,,,,,,否
RES00057,市场推广,市场部,前程无忧,2024-06-26,不通过,,,,,,,,,,,,,,,,否
RES00058,HRBP,人事部,BOSS直聘,2024-06-05,不通过,,,,,,,,,,,,,,,,否
RES00059,客服主管,客服部,智联招聘,2024-03-18,不通过,,,,,,,,,,,,,,,,否
RES00060,HRBP,人事部,校园招聘,2024-06-30,不通过,,,,,,,,,,,,,,,,否
RES00061,产品经理,产品部,智联招聘,2025-05-20,不通过,,,,,,,,,,,,,,,,否
RES00062,Java开发工程师,技术部,校园招聘,2025-04-20,通过,2025-04-22,2025-04-24,王淑英,通过,2025-04-29,傅春梅,不通过,,,,,,,,,否
RES00063,数据分析师,产品部,前程无忧,2025-04-04,不通过,,,,,,,,,,,,,,,,否
RES00064,市场推广,市场部,智联招聘,2024-11-26,不通过,,,,,,,,,,,,,,,,否
RES00065,市场推广,市场部,内部推荐,2024-11-19,通过,2024-11-20,2024-11-25,李婷,通过,2024-12-02,王刚,不通过,,,,,,,,,否
RES00066,销售代表,销售部,BOSS直聘,2024-06-03,不通过,,,,,,,,,,,,,,,,否
RES00067,市场推广,市场部,BOSS直聘,2025-03-26,通过,2025-03-30,2025-03-31,周桂芳,通过,2025-04-07,贾桂芳,通过,2025-04-08,司博,通过,2025-04-10,13k,14645.0,是,2025-05-13,是
RES00068,市场推广,市场部,猎聘,2024-03-10,不通过,,,,,,,,,,,,,,,,否
RES00069,产品经理,产品部,前程无忧,2025-04-25,不通过,,,,,,,,,,,,,,,,否
RES00070,行政专员,人事部,内部推荐,2025-03-28,通过,2025-04-01,2025-03-31,金春梅,通过,2025-04-05,李林,通过,2025-04-10,张丽丽,通过,2025-04-21,9k,9872.0,是,2025-05-26,是
RES00071,市场推广,市场部,校园招聘,2024-11-06,不通过,,,,,,,,,,,,,,,,否
RES00072,Java开发工程师,技术部,智联招聘,2024-10-08,不通过,,,,,,,,,,,,,,,,否
RES00073,数据分析师,产品部,前程无忧,2024-02-27,不通过,,,,,,,,,,,,,,,,否
RES00074,前端开发工程师,技术部,前程无忧,2024-12-26,通过,2024-12-30,2024-12-29,李淑英,通过,2025-01-10,戴桂花,通过,2025-01-13,陈洁,通过,2025-01-18,17k,19290.0,是,2025-02-15,是
RES00075,产品经理,产品部,猎头,2025-06-03,不通过,,,,,,,,,,,,,,,,否
RES00076,产品经理,产品部,内部推荐,2024-03-16,不通过,,,,,,,,,,,,,,,,否
RES00077,测试工程师,技术部,校园招聘,2024-11-13,不通过,,,,,,,,,,,,,,,,否
RES00078,行政专员,人事部,BOSS直聘,2025-04-17,不通过,,,,,,,,,,,,,,,,否
RES00079,销售代表,销售部,内部推荐,2025-04-07,通过,2025-04-12,2025-04-10,陆建,通过,2025-04-20,李秀芳,通过,2025-04-20,张娜,通过,2025-04-26,14k,15622.0,否,,否
RES00080,行政专员,人事部,BOSS直聘,2024-02-08,通过,2024-02-12,2024-02-13,熊淑珍,候选人放弃,,,,,,,,,,,,否
RES00081,数据分析师,产品部,BOSS直聘,2024-02-28,通过,2024-03-01,2024-03-05,白刚,不通过,,,,,,,,,,,,否
RES00082,数据分析师,产品部,校园招聘,2025-01-12,通过,2025-01-17,2025-01-22,段志强,候选人放弃,,,,,,,,,,,,否
RES00083,HRBP,人事部,BOSS直聘,2024-10-20,不通过,,,,,,,,,,,,,,,,否
RES00084,测试工程师,技术部,猎头,2024-03-19,通过,2024-03-20,2024-03-25,陈丽娟,通过,2024-04-02,黄瑞,通过,2024-04-05,洪秀云,不通过,,,,,,否
RES00085,前端开发工程师,技术部,BOSS直聘,2024-04-02,通过,2024-04-04,2024-04-06,鲁博,通过,2024-04-14,黄旭,不通过,,,,,,,,,否
RES00086,数据分析师,产品部,内部推荐,2025年06月3日,通过,2025-06-06,2025-06-10,刘晶,通过,2025-06-12,许春梅,通过,2025-06-20,赵婷婷,通过,2025-06-23,22k,20573.0,是,2025-07-28,是
RES00087,产品运营,运营部,BOSS直聘,2025-01-28,不通过,,,,,,,,,,,,,,,,否
RES00088,客服主管,客服部,智联招聘,2025-04-18,不通过,,,,,,,,,,,,,,,,否
RES00089,产品运营,运营部,BOSS直聘,2024-02-12,不通过,,,,,,,,,,,,,,,,否
RES00090,销售代表,销售部,前程无忧,2025-04-05,通过,2025-04-08,2025-04-15,唐秀华,不通过,,,,,,,,,,,,否
RES00091,销售代表,销售部,智联招聘,2024-07-11,不通过,,,,,,,,,,,,,,,,否
RES00092,市场推广,市场部,猎聘,2024-11-25,通过,2024-11-30,2024-11-29,赵楠,通过,2024-12-04,徐建华,不通过,,,,,,,,,否
RES00093,行政专员,人事部,BOSS直聘,2025-05-02,不通过,,,,,,,,,,,,,,,,否
RES00094,HRBP,人事部,BOSS直聘,2025-05-28,通过,2025-05-29,2025-05-31,高玉英,通过,2025-06-10,黄婷,不通过,,,,,,,,,否
RES00095,市场推广,市场部,BOSS直聘,2024-06-03,不通过,,,,,,,,,,,,,,,,否
RES00096,财务会计,财务部,智联招聘,2024-03-04,通过,2024-03-05,2024-03-14,杨红梅,候选人放弃,,,,,,,,,,,,否
RES00097,HRBP,人事部,内部推荐,2025-04-06,不通过,,,,,,,,,,,,,,,,否
RES00098,销售代表,销售部,校园招聘,2024-04-15,通过,2024-04-19,2024-04-22,马琴,通过,2024-04-30,韩超,通过,2024-05-03,蓝博,通过,2024-05-05,24k,22061.0,是,2024-06-14,是
RES00099,销售代表,销售部,BOSS直聘,2024-12-17,不通过,,,,,,,,,,,,,,,,否
RES00100,产品经理,产品部,前程无忧,2024-03-27,通过,2024-04-01,2024-04-01,袁林,通过,2024-04-05,瞿洁,通过,2024-04-15,沙磊,不通过,,,,,,否
RES00101,财务会计,财务部,内部推荐,2025-05-31,不通过,,,,,,,,,,,,,,,,否
RES00102,市场推广,市场部,BOSS直聘,2024-06-25,通过,2024-06-29,2024-07-02,张雪梅,通过,2024-07-02,蒋秀芳,通过,2024-07-15,王亮,通过,2024-07-15,20k,20591.0,是,2024-07-26,是
RES00103,销售代表,销售部,智联招聘,2024-02-10,不通过,,,,,,,,,,,,,,,,否
RES00104,财务会计,财务部,前程无忧,2024-09-10,通过,2024-09-15,2024-09-17,连勇,不通过,,,,,,,,,,,,否
RES00105,前端开发工程师,技术部,BOSS直聘,2025-03-24,不通过,,,,,,,,,,,,,,,,否
RES00106,客服主管,客服部,BOSS直聘,2025-03-25,不通过,,,,,,,,,,,,,,,,否
RES00107,行政专员,人事部,BOSS直聘,2025-06-20,不通过,,,,,,,,,,,,,,,,否
RES00108,销售代表,销售部,前程无忧,2025-06-19,不通过,,,,,,,,,,,,,,,,否
RES00109,前端开发工程师,技术部,BOSS直聘,2024-06-11,不通过,,,,,,,,,,,,,,,,否
RES00110,HRBP,人事部,BOSS直聘,2025-01-07,不通过,,,,,,,,,,,,,,,,否
RES00111,行政专员,人事部,智联招聘,2025-01-16,通过,2025-01-19,2025-01-22,袁秀英,通过,2025-01-28,丁玉,通过,2025-02-02,洪娜,不通过,,,,,,否
RES00112,财务会计,财务部,BOSS直聘,2024-10-16,不通过,,,,,,,,,,,,,,,,否
RES00113,行政专员,人事部,BOSS直聘,2025-01-31,不通过,,,,,,,,,,,,,,,,否
RES00114,产品运营,运营部,校园招聘,2025-02-22,不通过,,,,,,,,,,,,,,,,否
RES00115,产品经理,产品部,BOSS直聘,2024-12-12,不通过,,,,,,,,,,,,,,,,否
RES00116,财务会计,财务部,猎聘,2024-02-23,通过,2024-02-25,2024-03-01,邓健,通过,2024-03-03,李秀英,通过,2024-03-07,何莹,通过,2024-03-19,15k,15281.0,是,2024-03-27,是
RES00117,前端开发工程师,技术部,智联招聘,2024-12-08,不通过,,,,,,,,,,,,,,,,否
RES00118,销售代表,销售部,猎聘,2024-03-08,通过,2024-03-10,2024-03-11,唐洋,不通过,,,,,,,,,,,,否
RES00119,财务会计,财务部,前程无忧,2024-12-03,通过,2024-12-05,2024-12-08,姚志强,通过,2024-12-10,王建军,不通过,,,,,,,,,否
RES00120,Java开发工程师,技术部,BOSS直聘,2024-04-06,不通过,,,,,,,,,,,,,,,,否
RES00121,产品运营,运营部,内部推荐,2025-01-30,通过,2025-02-01,2025-02-04,杨春梅,通过,2025-02-12,谢慧,通过,2025-02-11,萧欢,通过,2025-02-24,34k,33399.0,是,2025-03-15,是
RES00122,前端开发工程师,技术部,前程无忧,2024-10-17,不通过,,,,,,,,,,,,,,,,否
RES00123,HRBP,人事部,内部推荐,2024-09-15,通过,2024-09-17,2024-09-20,刘桂芳,候选人放弃,,,,,,,,,,,,否
RES00124,测试工程师,技术部,智联招聘,2024-06-02,不通过,,,,,,,,,,,,,,,,否
RES00125,Java开发工程师,技术部,猎头,2024-12-07,不通过,,,,,,,,,,,,,,,,否
RES00126,财务会计,财务部,内部推荐,2024-03-24,通过,2024-03-29,2024-04-01,毛静,通过,2024-04-01,刘洋,不通过,,,,,,,,,否
RES00127,产品经理,产品部,猎头,2024-05-24,通过,2024-05-28,2024-05-27,韩秀珍,通过,2024-06-08,何红霞,通过,2024-06-07,王宁,通过,2024-06-17,11k,10435.0,否,,否
RES00128,测试工程师,技术部,前程无忧,2024-12-24,不通过,,,,,,,,,,,,,,,,否
RES00129,Java开发工程师,技术部,智联招聘,2024-11-13,不通过,,,,,,,,,,,,,,,,否
RES00130,行政专员,人事部,内部推荐,2025-02-05,通过,2025-02-06,2025-02-10,熊旭,通过,2025-02-20,乔军,不通过,,,,,,,,,否
RES00131,财务会计,财务部,校园招聘,2024-05-12,不通过,,,,,,,,,,,,,,,,否
RES00132,前端开发工程师,技术部,猎头,2024-03-27,不通过,,,,,,,,,,,,,,,,否
RES00133,财务会计,财务部,智联招聘,2024-11-13,不通过,,,,,,,,,,,,,,,,否
RES00134,产品经理,产品部,内部推荐,2025-01-20,不通过,,,,,,,,,,,,,,,,否
RES00135,客服主管,客服部,BOSS直聘,2024-12-02,不通过,,,,,,,,,,,,,,,,否
RES00136,行政专员,人事部,前程无忧,2024-05-10,不通过,,,,,,,,,,,,,,,,否
RES00137,销售代表,销售部,BOSS直聘,2025-06-23,通过,2025-06-28,2025-07-03,金凤英,通过,2025-07-06,萧建平,不通过,,,,,,,,,否
RES00138,财务会计,财务部,智联招聘,2024-04-05,不通过,,,,,,,,,,,,,,,,否
RES00139,产品经理,产品部,校园招聘,2025-03-09,不通过,,,,,,,,,,,,,,,,否
RES00140,Java开发工程师,技术部,BOSS直聘,2025-06-04,不通过,,,,,,,,,,,,,,,,否
RES00141,Java开发工程师,技术部,猎聘,2025-01-05,不通过,,,,,,,,,,,,,,,,否
RES00142,数据分析师,产品部,前程无忧,2024-01-19,不通过,,,,,,,,,,,,,,,,否
RES00143,前端开发工程师,技术部,BOSS直聘,2025-01-06,不通过,,,,,,,,,,,,,,,,否
RES00144,行政专员,人事部,智联招聘,2024-11-12,通过,2024-11-14,2024-11-19,阚慧,通过,2024-11-27,张晨,不通过,,,,,,,,,否
RES00145,Java开发工程师,技术部,前程无忧,2024-07-03,不通过,,,,,,,,,,,,,,,,否
RES00146,数据分析师,产品部,BOSS直聘,2024-08-07,通过,2024-08-08,2024-08-10,张丽娟,通过,2024-08-17,李建平,通过,2024-08-24,陈建军,通过,2024-08-28,19k,18306.0,是,2024-09-24,是
RES00147,测试工程师,技术部,内部推荐,2024-12-15,不通过,,,,,,,,,,,,,,,,否
RES00148,销售代表,销售部,猎头,2025-05-12,通过,2025-05-15,2025-05-21,王宇,通过,2025-05-25,冯桂荣,通过,2025-06-01,王超,通过,2025-06-03,13k,13496.0,是,2025-06-19,试用期离职
RES00149,客服主管,客服部,BOSS直聘,2024-07-15,不通过,,,,,,,,,,,,,,,,否
RES00150,测试工程师,技术部,BOSS直聘,2024-08-19,不通过,,,,,,,,,,,,,,,,否
RES00151,客服主管,客服部,智联招聘,2024-05-20,不通过,,,,,,,,,,,,,,,,否
RES00152,前端开发工程师,技术部,内部推荐,2024-06-07,通过,2024-06-08,2024-06-12,李佳,不通过,,,,,,,,,,,,否
RES00153,财务会计,财务部,BOSS直聘,2024-03-20,通过,2024-03-25,2024-03-28,廖英,通过,2024-03-27,蔡丽,不通过,,,,,,,,,否
RES00154,数据分析师,产品部,BOSS直聘,2024-10-29,通过,2024-10-30,2024-11-08,林秀英,通过,2024-11-11,林阳,不通过,,,,,,,,,否
RES00155,Java开发工程师,技术部,前程无忧,2024-04-13,通过,2024-04-16,2024-04-17,戴燕,通过,2024-04-26,魏鑫,不通过,,,,,,,,,否
RES00156,产品经理,产品部,猎头,2025-06-03,不通过,,,,,,,,,,,,,,,,否
RES00157,HRBP,人事部,智联招聘,2025-06-23,不通过,,,,,,,,,,,,,,,,否
RES00158,客服主管,客服部,智联招聘,2024-02-08,不通过,,,,,,,,,,,,,,,,否
RES00159,市场推广,市场部,猎头,2024-12-10,通过,2024-12-15,2024-12-15,秦萍,通过,2024-12-24,陈红,通过,2024-12-30,李辉,通过,2024-12-29,14k,13039.0,是,2025-01-25,是
RES00160,前端开发工程师,技术部,猎聘,2024-05-14,不通过,,,,,,,,,,,,,,,,否
RES00161,财务会计,财务部,猎聘,2025-01-20,不通过,,,,,,,,,,,,,,,,否
RES00162,产品运营,运营部,前程无忧,2024-06-06,不通过,,,,,,,,,,,,,,,,否
RES00163,前端开发工程师,技术部,猎头,2024-06-15,通过,2024-06-17,2024-06-22,战宇,通过,2024-06-27,宋旭,通过,2024-07-03,周桂珍,通过,2024-07-09,14k,14614.0,是,2024-07-17,是
RES00164,产品经理,产品部,猎聘,2024-07-04,不通过,,,,,,,,,,,,,,,,否
RES00165,HRBP,人事部,校园招聘,2024-06-18,不通过,,,,,,,,,,,,,,,,否
RES00166,市场推广,市场部,猎聘,2025-03-24,不通过,,,,,,,,,,,,,,,,否
RES00167,客服主管,客服部,内部推荐,2024-02-14,通过,2024-02-17,2024-02-20,吉莹,不通过,,,,,,,,,,,,否
RES00168,行政专员,人事部,BOSS直聘,2025-02-24,不通过,,,,,,,,,,,,,,,,否
RES00169,市场推广,市场部,智联招聘,2025-01-08,通过,2025-01-12,2025-01-13,李丽丽,不通过,,,,,,,,,,,,否
RES00170,数据分析师,产品部,内部推荐,2024-08-31,通过,2024-09-01,2024-09-07,杨丽娟,通过,2024-09-08,詹秀荣,通过,2024-09-16,周杰,通过,2024-09-23,34k,36677.0,是,2024-10-14,试用期离职
RES00171,客服主管,客服部,BOSS直聘,2025-03-30,不通过,,,,,,,,,,,,,,,,否
RES00172,产品运营,运营部,前程无忧,2024-10-18,不通过,,,,,,,,,,,,,,,,否
RES00173,测试工程师,技术部,BOSS直聘,2025-04-04,不通过,,,,,,,,,,,,,,,,否
RES00174,产品运营,运营部,内部推荐,2024-08-27,不通过,,,,,,,,,,,,,,,,否
RES00175,客服主管,客服部,BOSS直聘,2025-06-30,不通过,,,,,,,,,,,,,,,,否
RES00176,行政专员,人事部,内部推荐,2024-09-01,通过,2024-09-06,2024-09-05,姚霞,不通过,,,,,,,,,,,,否
RES00177,测试工程师,技术部,前程无忧,2024-11-12,通过,2024-11-16,2024-11-18,殷磊,通过,2024-11-25,王丽,不通过,,,,,,,,,否
RES00178,前端开发工程师,技术部,BOSS直聘,2025-04-25,不通过,,,,,,,,,,,,,,,,否
RES00179,行政专员,人事部,前程无忧,2024-07-17,不通过,,,,,,,,,,,,,,,,否
RES00180,Java开发工程师,技术部,BOSS直聘,2025-01-11,通过,2025-01-14,2025-01-15,蒋艳,通过,2025-01-23,高佳,通过,2025-01-25,李婷婷,通过,2025-02-02,18k,17748.0,否,,否
RES00181,客服主管,客服部,智联招聘,2025-03-27,通过,2025-03-29,2025-04-02,孙霞,通过,2025-04-07,崔涛,不通过,,,,,,,,,否
RES00182,客服主管,客服部,智联招聘,2025-04-17,通过,2025-04-19,2025-04-25,刘志强,候选人放弃,,,,,,,,,,,,否
RES00183,行政专员,人事部,BOSS直聘,2024-10-15,通过,2024-10-16,2024-10-19,桂海燕,通过,2024-10-29,杨伟,不通过,,,,,,,,,否
RES00184,数据分析师,产品部,猎头,2025-01-26,通过,2025-01-31,2025-02-03,何颖,不通过,,,,,,,,,,,,否
RES00185,销售代表,销售部,BOSS直聘,2025-05-29,不通过,,,,,,,,,,,,,,,,否
RES00186,销售代表,销售部,猎聘,2025-06-24,不通过,,,,,,,,,,,,,,,,否
RES00187,产品经理,产品部,智联招聘,2025-03-04,不通过,,,,,,,,,,,,,,,,否
RES00188,销售代表,销售部,猎聘,2024-06-14,不通过,,,,,,,,,,,,,,,,否
RES00189,产品运营,运营部,智联招聘,2024-07-23,不通过,,,,,,,,,,,,,,,,否
RES00190,Java开发工程师,技术部,猎聘,2024-05-21,不通过,,,,,,,,,,,,,,,,否
RES00191,客服主管,客服部,猎聘,2024-09-13,不通过,,,,,,,,,,,,,,,,否
RES00192,市场推广,市场部,猎聘,2024-02-23,不通过,,,,,,,,,,,,,,,,否
RES00193,产品运营,运营部,BOSS直聘,2025-05-07,通过,2025-05-09,2025-05-10,李秀荣,通过,2025-05-20,卢颖,通过,2025-05-27,梁红霞,通过,2025-05-22,24k,23717.0,否,,否
RES00194,产品经理,产品部,猎聘,2025-01-15,不通过,,,,,,,,,,,,,,,,否
RES00195,HRBP,人事部,BOSS直聘,2024-04-15,不通过,,,,,,,,,,,,,,,,否
RES00196,Java开发工程师,技术部,BOSS直聘,2025-06-12,通过,2025-06-17,2025-06-15,傅柳,通过,2025-06-22,郭丽华,通过,2025-06-25,秦洋,通过,2025-07-02,19k,20295.0,是,2025-07-29,是
RES00197,销售代表,销售部,智联招聘,2024-05-07,通过,2024-05-12,2024-05-12,赵秀英,通过,2024-05-17,黄冬梅,通过,2024-05-24,王兰英,通过,2024-05-27,21k,20194.0,是,2024-06-10,试用期离职
RES00198,财务会计,财务部,智联招聘,2024-10-18,不通过,,,,,,,,,,,,,,,,否
RES00199,前端开发工程师,技术部,智联招聘,2024-03-26,不通过,,,,,,,,,,,,,,,,否
RES00200,市场推广,市场部,猎聘,2024-06-13,不通过,,,,,,,,,,,,,,,,否
RES00201,客服主管,客服部,智联招聘,2024-10-06,不通过,,,,,,,,,,,,,,,,否
RES00202,测试工程师,技术部,智联招聘,2025-04-05,不通过,,,,,,,,,,,,,,,,否
RES00203,HRBP,人事部,BOSS直聘,2025-06-09,不通过,,,,,,,,,,,,,,,,否
RES00204,前端开发工程师,技术部,猎聘,2024-05-30,通过,2024-06-01,2024-06-02,陈峰,通过,2024-06-13,张华,通过,2024-06-19,吴丽,通过,2024-06-22,31k,30445.0,是,2024-07-07,是
RES00205,行政专员,人事部,前程无忧,2025-03-23,不通过,,,,,,,,,,,,,,,,否
RES00206,行政专员,人事部,智联招聘,2024-04-03,不通过,,,,,,,,,,,,,,,,否
RES00207,Java开发工程师,技术部,猎聘,2024-08-15,不通过,,,,,,,,,,,,,,,,否
RES00208,测试工程师,技术部,前程无忧,2025-04-06,通过,2025-04-09,2025-04-10,李鹏,通过,2025-04-18,赵杰,通过,2025-04-23,沈红,通过,2025-04-29,26k,28535.0,是,2025-05-06,是
RES00209,Java开发工程师,技术部,智联招聘,2024-12-23,不通过,,,,,,,,,,,,,,,,否
RES00210,Java开发工程师,技术部,前程无忧,2024-01-28,不通过,,,,,,,,,,,,,,,,否
RES00211,测试工程师,技术部,猎聘,2025-02-28,不通过,,,,,,,,,,,,,,,,否
RES00212,产品运营,运营部,猎聘,2024-02-24,不通过,,,,,,,,,,,,,,,,否
RES00213,产品运营,运营部,BOSS直聘,2025-02-09,不通过,,,,,,,,,,,,,,,,否
RES00214,行政专员,人事部,BOSS直聘,2025-05-29,不通过,,,,,,,,,,,,,,,,否
RES00215,Java开发工程师,技术部,BOSS直聘,2025-01-17,不通过,,,,,,,,,,,,,,,,否
RES00216,市场推广,市场部,猎聘,2024-08-29,通过,2024-09-01,2024-09-08,姚瑞,不通过,,,,,,,,,,,,否
RES00217,产品经理,产品部,校园招聘,2025-01-30,不通过,,,,,,,,,,,,,,,,否
RES00218,数据分析师,产品部,智联招聘,2024-03-24,不通过,,,,,,,,,,,,,,,,否
RES00219,Java开发工程师,技术部,BOSS直聘,2025-01-18,通过,2025-01-20,2025-01-26,郑云,候选人放弃,,,,,,,,,,,,否
